metesdescriptionlineid	metesdescription	metesdescriptionline	thencepoint	northsouth	degree	eastwest	foot	topoint	curveleftright	curveradiusfoot	curvetangent	manualxchange	manualychange	metesdescriptionlinenotes	curveinternalangle
87928	8098	8	along said center line of Hunter Avenue in a general Southeasterly direction	S	\N	E	27	point in the line between the Borough of Fanwood and Township of Scotch Plains, said point also being in direct continuation of the Northwesterly line of property as shown on a map entitled "Map of Midway Estates", situated in the Township of Scotch Plains and the Borough of Fanwood, Union County, New Jersey, November 16, 1951, made by Harry L. Paff, Professional Engineer and Land Surveyor, 433 Forest Road, Scotch Plains, New Jersey and filed in the Register's Office of Union County as Map No. 376F, if it is produced in a Southwesterly direction to intersect with the center line of Hunter Avenue		\N	0	\N	\N		\N
87929	8098	9	in a general Northeasterly direction along said Northwesterly line of property as shown on the last abovementioned map and crossing Willow Avenue and along line of lands belonging to the Board of Education of Scotch Plains Township	N	\N	E	931.96	point, said point being the North corner of Lot 14 as shown on the last abovementioned map		\N	0	\N	\N		\N
87930	8098	10	in a Northwesterly direction along line of lands belonging to said Board of Education and in direct continuation of the Northeasterly line of Lot 14 above-mentioned	N	\N	W	31.3	point and corner of lands belonging to said Board of Education		\N	0	\N	\N		\N
87931	8098	11	along line of lands of said Board of Education in a general Northeasterly direction	N	\N	E	657.8	point in the center line of Park Avenue		\N	0	\N	\N		\N
87932	8098	12	along said center line of Park Avenue in a general Southeasterly direction	S	\N	E	85	point and the intersection of the center line of Park Avenue with the center line of Portland Avenue		\N	0	\N	\N		\N
87933	8098	13	along the center line of Portland Avenue in a general Northeasterly direction	N	\N	E	1554.83	point in the center line of Birch Street as shown on a certain map entitled "Scotcbwood Corporation, Map of Portland Gardens", situated in the Township of Scotch Plains and the Borough of Fanwood, Union County, New Jersey, June 22, 1959 and made by Harry L. Paff, Professional Engineer and Land Surveyor, 433 Forest Road, Scotch Plains, New Jersey and filed in the Register's Office of Union County on October 7, 1959 as Map No. 515B		\N	0	\N	\N		\N
87934	8098	14	along the center line of Birch Street in a general Northwesterly direction	N	\N	W	20	point in the center line of Portland Avenue as shown on the last abovementioned map		\N	0	\N	\N		\N
87935	8098	15	along the center line of Portland Avenue in a general Northeasterly direction	N	\N	E	1452.8	point in the centerline of Westfield Road		\N	0	\N	\N		\N
87936	8098	16	along the center line of Westfield Road in a general Southeasterly direction and following the various courses and distances	S	\N	E	4162.34	point in the center line of North Avenue		\N	0	\N	\N		\N
87937	8098	17	along the center line of North Avenue in a general Northeasterly direction	N	\N	E	570	point in the center line of Summit Avenue		\N	0	\N	\N		\N
