lawsectioneventid	lawsection	event	lawsectioneventrelationship	lawsectioneventnotes
58980	661	54648	indirect	
58981	661	54660	indirect	
58983	661	54718	indirect	
58984	661	53659	indirect	
58985	661	54354	indirect	
58986	661	54384	indirect	
58987	661	54704	indirect	
58988	661	54385	indirect	
58989	661	54662	indirect	
58990	661	53661	indirect	
58991	661	54454	indirect	
58992	661	54585	indirect	
58993	661	54707	indirect	
58994	661	53662	indirect	
58995	661	54173	indirect	
58996	661	54455	indirect	
58997	661	53663	indirect	
58998	661	54438	indirect	
58999	661	54456	indirect	
59000	661	54653	indirect	
59001	661	53664	indirect	
59002	661	54389	indirect	
59003	661	54457	indirect	
59004	661	55078	indirect	
59005	661	22017	indirect	
59006	661	54459	indirect	
59007	661	55154	indirect	
59008	661	54460	indirect	
59009	661	54507	indirect	
59010	661	53681	indirect	
59011	661	53682	indirect	
59012	661	54523	indirect	
59013	661	54524	indirect	
59014	661	54525	indirect	
59015	661	54526	indirect	
59016	661	22013	indirect	
59017	661	15042	indirect	
59018	661	15172	indirect	
59019	661	2072	indirect	
59020	661	2579	indirect	
59021	661	2629	indirect	
59022	661	2892	indirect	
59023	661	4948	indirect	
59024	661	1847	indirect	
59025	661	54412	indirect	
59026	661	54415	indirect	
59027	661	54420	indirect	
59028	661	54419	indirect	
59029	661	15729	indirect	
59030	661	2386	indirect	
59031	661	2027	indirect	
59032	661	14452	indirect	
59033	661	15364	indirect	
59034	661	9577	indirect	
