sourcecitationeventid	sourcecitation	event	sourcecitationeventinclude
1972	1058	4973	f
1973	1059	5181	f
1974	1060	5141	f
1975	1061	5655	f
1976	1062	4358	f
1977	1063	1941	f
1978	1064	2486	f
1979	1065	2542	f
1980	1066	2625	f
1981	1069	2466	f
1982	1070	2564	f
1983	1071	982	f
1984	1072	2173	f
1985	1073	1941	f
1986	1074	2625	f
1987	1075	982	f
1988	1075	2564	f
1989	1076	2614	f
1990	1077	1651	f
1991	1078	1651	f
1992	1079	2441	f
1993	1080	2316	f
1994	1081	2316	f
1995	1082	2441	f
1996	1083	2370	f
1997	1084	2370	f
1998	1085	2606	f
1999	1086	2575	f
2000	1087	2575	f
2001	1088	989	f
2002	1089	2374	f
2003	1090	989	f
2004	1091	2617	f
2005	1092	2380	f
2006	1093	2312	f
2007	1094	2674	f
2008	1096	2674	f
2009	1097	2658	f
2010	1098	1567	f
2011	1099	1567	f
2012	1100	2672	f
2013	1101	2672	f
2014	1102	808	f
2015	1103	808	f
2016	1104	1871	f
2017	1105	1648	f
2018	1105	1871	f
2019	1106	1648	f
2020	1107	1257	f
2021	1108	2555	f
2022	1109	1257	f
2023	1110	2555	f
2024	1111	442	f
2025	1112	1018	f
2026	1113	1373	f
2027	1114	442	f
2028	1115	1055	f
2029	1116	1373	f
2030	1117	1018	f
2031	1118	1224	f
2032	1119	1224	f
2033	1120	1055	f
2034	1121	1790	f
2035	1122	1647	f
2036	1123	1790	f
2037	1124	1647	f
2038	1125	2553	f
2039	1126	2553	f
2040	1130	2367	f
2041	1131	2367	f
2042	1131	2553	f
2043	1132	2553	f
2044	1133	2149	f
2045	1133	2553	f
2046	1134	2553	f
2047	1135	2553	f
2048	1136	2553	f
2049	1137	2149	f
2050	1137	2553	f
2051	1138	2140	f
2052	1138	2553	f
2053	1139	2553	f
2054	1140	2149	f
2055	1140	2553	f
2056	1141	2553	f
2057	1142	2553	f
2058	1143	2140	f
2059	1144	2553	f
2060	1145	2553	f
2061	1146	2149	f
2062	1147	2553	f
2063	1148	2553	f
2064	1149	2553	f
2065	1150	2553	f
2066	1151	2553	f
2067	1152	2553	f
2068	1153	1942	f
2069	1154	1453	f
2070	1155	7120	f
2071	1155	7119	f
2072	1155	7430	f
2073	1155	7249	f
2074	1155	7139	f
2075	1155	7138	f
2076	1155	8049	f
2077	1155	8495	f
2078	1155	8298	f
2079	1155	9072	f
2080	1155	9071	f
2081	1155	9054	f
2083	1155	9708	f
2084	1155	7604	f
2085	1155	9075	f
2086	1155	9074	f
2087	1156	1942	f
2088	1157	1453	f
2089	1158	2553	f
2090	1159	2373	f
2091	1160	2373	f
2092	1161	2501	f
2093	1162	1473	f
2094	1163	2642	f
2095	1163	2553	f
2096	1164	1473	f
2097	1165	2642	f
2098	1166	2501	f
2099	1167	2501	f
2100	1169	2541	f
2101	1170	2378	f
2102	1171	2541	f
2103	1172	2378	f
2104	1173	2378	f
2105	1174	2556	f
2106	1175	2556	f
2107	1176	2646	f
2108	1177	2646	f
2109	1178	2402	f
2110	1179	2402	f
2111	1180	2638	f
2112	1180	2593	f
2113	1180	2551	f
2114	1181	2593	f
2115	1182	2638	f
2116	1183	1268	f
